Date,Team_ID,Team,Opponent,Result,Off Pass Att,Off Pass Yards,Off Int,Location,Off Rush Att,Off Rush Yards,Def Pass Att,Def Pass Yards,Def Rush Att,Def Rush Yards,Def Sacks,Def Sack Yards,Off Plays,Pen,Pen Yards
11/08/08,66,Boise State,Utah St.,W 49-14,42,458,1,home,36,105,41,261,21,44,1,8,78,12,115
11/15/08,66,Boise State,Idaho,W 45-10,34,210,0,away,38,315,29,225,37,104,4,35,72,4,26
11/22/08,66,Boise State,Nevada,W 41-34,48,414,3,away,26,70,51,241,35,144,1,9,74,5,50
11/28/08,66,Boise State,Fresno St.,W 61-10,25,248,1,home,34,246,37,211,35,83,2,13,59,5,49
12/23/08,66,Boise State,TCU,L 16-17,35,222,1,neutral,20,28,36,197,51,275,0,0,55,4,25
08/30/08,67,Boston College,Kent St.,W 21-0,18,106,0,neutral,47,230,21,134,36,126,3,19,65,0,0
09/06/08,67,Boston College,Georgia Tech,L 16-19,36,142,2,home,41,120,13,73,40,162,2,16,77,2,16
09/20/08,67,Boston College,UCF,W 34-7,41,237,3,home,36,174,32,129,34,123,1,5,77,2,21
09/27/08,67,Boston College,FCS,W 42-0,9,27,0,home,40,289,44,214,29,53,4,25,49,8,52
10/04/08,67,Boston College,North Carolina St.,W 38-31,51,428,1,away,30,150,33,218,22,35,5,36,81,6,62
10/18/08,67,Boston College,Virginia Tech,W 28-23,32,218,3,home,37,82,27,90,38,150,1,3,69,3,19
10/25/08,67,Boston College,North Carolina,L 24-45,42,204,3,away,21,40,30,238,36,114,3,15,63,5,40
11/01/08,67,Boston College,Clemson,L 21-27,39,116,0,home,30,120,33,252,31,87,2,13,69,3,30
11/08/08,67,Boston College,Notre Dame,W 17-0,22,79,0,home,41,167,46,226,21,66,1,12,63,9,90
11/15/08,67,Boston College,Florida St.,W 27-17,27,181,1,away,47,176,32,212,24,73,1,9,74,7,51
11/22/08,67,Boston College,Wake Forest,W 24-21,27,137,0,away,44,97,28,126,28,65,4,25,71,3,25
11/29/08,67,Boston College,Maryland,W 28-21,25,143,0,home,41,175,57,360,26,-6,5,32,66,5,42
12/06/08,67,Boston College,Virginia Tech,L 12-30,43,263,2,neutral,24,45,19,84,53,150,2,12,67,4,38
12/31/08,67,Boston College,Vanderbilt,L 14-16,36,190,2,neutral,38,141,20,121,36,79,1,3,74,3,34
08/30/08,71,Bowling Green,Pittsburgh,W 27-17,42,190,1,away,28,64,51,264,35,129,4,17,70,7,54
09/06/08,71,Bowling Green,Minnesota,L 17-42,45,261,1,home,26,128,25,233,45,164,3,14,71,0,0
09/13/08,71,Bowling Green,Boise St.,L 7-20,36,204,1,away,36,103,23,180,33,160,1,7,72,7,55
09/27/08,71,Bowling Green,Wyoming,W 45-16,36,287,0,away,40,101,32,124,37,192,0,0,76,8,60
10/04/08,71,Bowling Green,Eastern Mich.,L 21-24,34,297,0,home,29,94,30,263,38,147,0,0,63,10,80
10/11/08,71,Bowling Green,Akron,W 37-33,42,244,1,away,27,175,34,161,42,206,1,6,69,6,51
10/18/08,71,Bowling Green,Miami (Ohio),L 20-27,34,224,1,home,26,80,24,129,43,218,2,11,60,9,101
10/25/08,71,Bowling Green,Northern Ill.,L 13-16,21,92,0,away,22,76,12,45,57,233,0,0,43,2,15
11/01/08,71,Bowling Green,Kent St.,W 45-30,24,201,2,home,46,261,32,219,42,259,2,23,70,6,61
11/08/08,71,Bowling Green,Ohio,W 28-3,30,229,0,away,34,93,30,188,28,40,4,44,64,7,56
11/21/08,71,Bowling Green,Buffalo,L 34-40,33,240,1,home,47,139,41,297,25,74,3,16,80,6,37
11/28/08,71,Bowling Green,Toledo,W 38-10,34,240,1,away,46,294,20,67,37,129,4,41,80,7,71
08/28/08,86,Buffalo,UTEP,W 42-17,16,221,0,home,50,263,37,199,26,67,2,13,66,6,60
09/06/08,86,Buffalo,Pittsburgh,L 16-27,34,223,1,away,32,125,34,241,31,111,2,21,66,6,60
09/13/08,86,Buffalo,Temple,W 30-28,42,348,1,home,31,101,33,285,27,104,1,7,73,5,56
09/20/08,86,Buffalo,Missouri,L 21-42,40,237,1,away,35,49,45,439,29,151,0,0,75,4,30
09/27/08,86,Buffalo,Central Mich.,L 25-27,33,270,0,away,30,66,26,152,39,208,0,0,63,4,34
10/11/08,86,Buffalo,Western Mich.,L 28-34,35,164,1,home,38,158,63,345,17,52,1,8,73,5,49
10/18/08,86,Buffalo,Army,W 27-24,35,279,0,home,30,41,6,52,54,320,0,0,65,3,35
10/28/08,86,Buffalo,Ohio,W 32-19,23,116,0,away,46,277,29,290,29,127,1,7,69,4,35
11/04/08,86,Buffalo,Miami (Ohio),W 37-17,31,260,0,home,34,216,44,241,29,142,1,2,65,11,117
11/13/08,86,Buffalo,Akron,W 43-40,39,252,0,away,57,224,38,295,34,179,0,0,96,2,30
11/21/08,86,Buffalo,Bowling Green,W 40-34,41,297,1,away,25,74,33,240,47,139,3,12,66,4,35
11/28/08,86,Buffalo,Kent St.,L 21-24,31,240,0,home,33,145,23,114,44,312,0,0,64,2,23
12/05/08,86,Buffalo,Ball St.,W 42-24,29,206,0,neutral,26,95,48,351,41,152,1,10,55,5,40
01/03/09,86,Buffalo,Connecticut,L 20-38,43,213,1,neutral,19,24,6,49,49,358,2,17,62,5,25
08/30/08,107,California,Michigan St.,W 38-31,30,264,2,home,36,203,48,321,31,81,0,0,66,8,67
09/06/08,107,California,Washington St.,W 66-3,24,114,0,away,40,391,30,110,35,57,2,17,64,8,66
09/13/08,107,California,Maryland,L 27-35,60,423,1,away,23,38,20,156,47,141,4,31,83,8,75
09/27/08,107,California,Colorado St.,W 42-7,26,159,0,home,30,189,36,226,46,125,4,32,56,4,25
10/04/08,107,California,Arizona St.,W 24-14,28,198,1,home,33,79,35,165,32,71,3,22,61,4,33
10/18/08,107,California,Arizona,L 27-42,56,315,2,away,23,110,27,225,41,179,4,27,79,6,49
10/25/08,107,California,UCLA,W 41-20,22,153,0,home,42,232,41,237,22,16,3,24,64,8,65
11/01/08,107,California,Oregon,W 26-16,39,216,1,home,40,132,32,84,50,206,2,10,79,9,85
11/08/08,107,California,Southern California,L 3-17,31,138,1,away,26,27,30,238,36,173,3,16,57,8,50
11/15/08,107,California,Oregon St.,L 21-34,27,147,1,away,30,85,28,145,42,194,1,5,57,5,49
11/22/08,107,California,Stanford,W 37-16,11,101,1,home,38,287,39,312,37,123,4,31,49,3,25
12/06/08,107,California,Washington,W 48-7,22,118,0,home,44,431,25,96,44,104,3,28,66,4,50
12/27/08,107,California,Miami (Fla.),W 24-17,21,121,0,neutral,30,217,41,194,32,119,2,27,51,2,10
08/28/08,129,Central Michigan,FCS,W 31-12,31,217,0,home,44,172,28,201,31,83,4,17,75,6,59
09/06/08,129,Central Michigan,Georgia,L 17-56,44,250,1,away,22,59,33,289,36,263,0,0,66,4,31
09/13/08,129,Central Michigan,Ohio,W 31-28,42,361,0,away,33,70,33,365,35,148,2,18,75,5,52
09/20/08,129,Central Michigan,Purdue,L 25-32,44,291,2,away,38,149,36,261,29,83,1,6,82,7,57
09/27/08,129,Central Michigan,Buffalo,W 27-25,26,152,0,home,39,208,33,270,30,66,3,23,65,5,56
10/11/08,129,Central Michigan,Temple,W 24-14,25,242,0,home,40,55,32,163,34,138,4,19,65,4,50
10/18/08,129,Central Michigan,Western Mich.,W 38-28,29,348,1,home,41,176,53,471,23,49,3,15,70,10,95
10/25/08,129,Central Michigan,Toledo,W 24-23,37,256,0,away,45,146,26,216,32,149,2,7,82,3,25
